id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates_latitude,coordinates_longitude,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,location_display_address
AJ1SJkAVv1H6lA4pDnZ0dQ,ying-li-restaurant-san-ysidro,Ying Li Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/YJPpJzk8hQ4FEcs0fVMhqw/o.jpg,False,https://www.yelp.com/biz/ying-li-restaurant-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,163,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"['pickup', 'delivery']",$,+16194282288,(619) 428-2288,983.2426153555257,32.5542843238304,-117.050823021496,342 W San Ysidro Blvd,,,San Ysidro,92173,US,CA,"['342 W San Ysidro Blvd', 'San Ysidro, CA 92173']"
uGt9jvS6tcPpYhJa1kDl1w,la-cachonda-cenaduria-san-diego,La Cachonda Cenaduria,https://s3-media2.fl.yelpcdn.com/bphoto/orODHqjmSOkKR5kuzu7L2Q/o.jpg,False,https://www.yelp.com/biz/la-cachonda-cenaduria-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,3,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],,,,1020.3828022100488,32.555684,-117.051453,347 W San Ysidro Blvd,,,San Diego,92173,US,CA,"['347 W San Ysidro Blvd', 'San Diego, CA 92173']"
9BeEPZ4p0iEHYyKLYBLRBw,zappy-pizza-san-diego,Zappy Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/FTn7ABDQhKwr0cXXwGdsjQ/o.jpg,False,https://www.yelp.com/biz/zappy-pizza-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,32,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"['pickup', 'delivery']",$,+16196909232,(619) 690-9232,915.2026080948758,32.5547644614695,-117.052037709138,416 W San Ysidro Blvd,,,San Diego,92173,US,CA,"['416 W San Ysidro Blvd', 'San Diego, CA 92173']"
Ws4nOG8u2uSTUqEA28a30Q,tropifrutas-san-ysidro,Tropifrutas,https://s3-media1.fl.yelpcdn.com/bphoto/SA-nYTUBzjIp41MdD-_H3w/o.jpg,False,https://www.yelp.com/biz/tropifrutas-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,132,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'salad', 'title': 'Salad'}]",2.5,"['pickup', 'delivery']",$,+16196620602,(619) 662-0602,985.1378911511014,32.55435,-117.05065,342 W San Ysidro Blvd,,,San Ysidro,92173,US,CA,"['342 W San Ysidro Blvd', 'San Ysidro, CA 92173']"
bN2HUTEFnzSKVJI4dxvkhQ,robertacos-mexican-food-san-ysidro,Robertacos Mexican Food,https://s3-media3.fl.yelpcdn.com/bphoto/saJgJYRq142-ep8Q1ewmxg/o.jpg,False,https://www.yelp.com/biz/robertacos-mexican-food-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,99,"[{'alias': 'mexican', 'title': 'Mexican'}]",2.0,['delivery'],$,+16196906814,(619) 690-6814,802.2009642300138,32.55596,-117.05495,492 W San Ysidro Blvd,,,San Ysidro,92173,US,CA,"['492 W San Ysidro Blvd', 'San Ysidro, CA 92173']"
ZEs1b1Ad1-K-gvahWxMZAg,yum-yum-donuts-san-ysidro,Yum Yum Donuts,https://s3-media4.fl.yelpcdn.com/bphoto/z5MhqtK8jc3Y5N3gonSh1w/o.jpg,False,https://www.yelp.com/biz/yum-yum-donuts-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,27,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.0,['delivery'],$,+16194284755,(619) 428-4755,832.0447188792026,32.55596,-117.05495,482 W San Ysidro Blvd,,,San Ysidro,92073,US,CA,"['482 W San Ysidro Blvd', 'San Ysidro, CA 92073']"
q1RMTHQrXZuxISOAHAqa_w,el-jalapeno-taco-shop-san-ysidro,El Jalapeno Taco Shop,https://s3-media2.fl.yelpcdn.com/bphoto/ls7_BNLBtAIKA5uOahhgWQ/o.jpg,False,https://www.yelp.com/biz/el-jalapeno-taco-shop-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,60,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.0,"['pickup', 'delivery']",$,+16196621747,(619) 662-1747,812.9948422270394,32.556008390453,-117.055057371115,482 W San Ysidro Blvd,Ste 4,,San Ysidro,92173,US,CA,"['482 W San Ysidro Blvd', 'Ste 4', 'San Ysidro, CA 92173']"
cgc2bxlXvr_A-C5amouirg,cocos-bakery-restaurant-san-ysidro-2,Coco's Bakery Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/ertUqCUZqvwoyC_-EXZduQ/o.jpg,False,https://www.yelp.com/biz/cocos-bakery-restaurant-san-ysidro-2?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,79,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",2.5,"['pickup', 'delivery']",$$,+16194284981,(619) 428-4981,994.5652484901763,32.55891,-117.05994,825 W San Ysidro Blvd,,,San Ysidro,92173,US,CA,"['825 W San Ysidro Blvd', 'San Ysidro, CA 92173']"
GOCzI6qpBgokfAoyjoXIJA,subway-san-ysidro-5,Subway,https://s3-media1.fl.yelpcdn.com/bphoto/1URBIPTpVVniONmGEN437g/o.jpg,False,https://www.yelp.com/biz/subway-san-ysidro-5?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,13,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"['pickup', 'delivery']",$,+16194281716,(619) 428-1716,903.2767046107936,32.5552122489887,-117.052608,416 W San Ysidro Blvd,Ste M,,San Ysidro,92173,US,CA,"['416 W San Ysidro Blvd', 'Ste M', 'San Ysidro, CA 92173']"
m3Waxrg5UMlMjJw1UsaxSQ,jack-in-the-box-san-ysidro,Jack in the Box,https://s3-media1.fl.yelpcdn.com/bphoto/XR-l3AZM6fV1cm0j6ecV3g/o.jpg,False,https://www.yelp.com/biz/jack-in-the-box-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pujtun0dzH2y8clPTbsFbQ,24,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]",1.5,['delivery'],$,+16194280731,(619) 428-0731,939.3543693200317,32.5552190808873,-117.052119076252,402 W San Ysidro Blvd,,,San Ysidro,92173,US,CA,"['402 W San Ysidro Blvd', 'San Ysidro, CA 92173']"
