latitude,longitude,radius,density
32.55,-117.26,1000.0,0.0
32.55,-117.24,1000.0,0.0
32.55,-117.22,1000.0,0.0
32.55,-117.2,1000.0,0.0
32.55,-117.18,1000.0,0.0
32.55,-117.16,1000.0,0.0
32.55,-117.14,1000.0,0.0
32.55,-117.12,1000.0,0.0
32.55,-117.1,1000.0,0.0
32.55,-117.08,1000.0,0.0
32.55,-117.06,1000.0,13.0
32.55,-117.04,1000.0,41.0
32.55,-117.02,1000.0,3.0
32.55,-117.0,1000.0,10.0
32.55,-116.98,1000.0,8.0
32.55,-116.96,1000.0,1.0
32.55,-116.94,1000.0,37.0
32.55,-116.92,1000.0,13.0
32.5734,-117.26,1000.0,0.0
32.5734,-117.24,1000.0,0.0
32.5734,-117.22,1000.0,0.0
32.5734,-117.2,1000.0,0.0
32.5734,-117.18,1000.0,0.0
32.5734,-117.16,1000.0,0.0
32.5734,-117.14,1000.0,8.0
32.5734,-117.12,1000.0,0.0
32.5734,-117.1,1000.0,18.0
32.5734,-117.08,1000.0,10.0
32.5734,-117.06,1000.0,21.0
32.5734,-117.04,1000.0,8.0
32.5734,-117.02,1000.0,0.0
32.5734,-117.0,1000.0,3.0
32.5734,-116.98,1000.0,2.0
32.5734,-116.96,1000.0,4.0
32.5734,-116.94,1000.0,1.0
32.5734,-116.92,1000.0,2.0
32.5968,-117.26,1000.0,0.0
32.5968,-117.24,1000.0,0.0
32.5968,-117.22,1000.0,0.0
32.5968,-117.2,1000.0,0.0
32.5968,-117.18,1000.0,0.0
32.5968,-117.16,1000.0,0.0
32.5968,-117.14,1000.0,0.0
32.5968,-117.12,1000.0,0.0
32.5968,-117.1,1000.0,0.0
32.5968,-117.08,1000.0,39.0
32.5968,-117.06,1000.0,35.0
32.5968,-117.04,1000.0,12.0
32.5968,-117.02,1000.0,3.0
32.5968,-117.0,1000.0,0.0
32.5968,-116.98,1000.0,0.0
32.5968,-116.96,1000.0,0.0
32.5968,-116.94,1000.0,0.0
32.5968,-116.92,1000.0,0.0
32.6202,-117.26,1000.0,0.0
32.6202,-117.24,1000.0,0.0
32.6202,-117.22,1000.0,0.0
32.6202,-117.2,1000.0,0.0
32.6202,-117.18,1000.0,0.0
32.6202,-117.16,1000.0,0.0
32.6202,-117.14,1000.0,1.0
32.6202,-117.12,1000.0,0.0
32.6202,-117.1,1000.0,4.0
32.6202,-117.08,1000.0,49.0
32.6202,-117.06,1000.0,11.0
32.6202,-117.04,1000.0,13.0
32.6202,-117.02,1000.0,7.0
32.6202,-117.0,1000.0,8.0
32.6202,-116.98,1000.0,4.0
32.6202,-116.96,1000.0,38.0
32.6202,-116.94,1000.0,0.0
32.6202,-116.92,1000.0,0.0
32.6436,-117.26,1000.0,0.0
32.6436,-117.24,1000.0,0.0
32.6436,-117.22,1000.0,0.0
32.6436,-117.2,1000.0,0.0
32.6436,-117.18,1000.0,0.0
32.6436,-117.16,1000.0,0.0
32.6436,-117.14,1000.0,0.0
32.6436,-117.12,1000.0,0.0
32.6436,-117.1,1000.0,36.0
32.6436,-117.08,1000.0,27.0
32.6436,-117.06,1000.0,17.0
32.6436,-117.04,1000.0,9.0
32.6436,-117.02,1000.0,8.0
32.6436,-117.0,1000.0,26.0
32.6436,-116.98,1000.0,0.0
32.6436,-116.96,1000.0,32.0
32.6436,-116.94,1000.0,0.0
32.6436,-116.92,1000.0,0.0
32.667,-117.26,1000.0,0.0
32.667,-117.24,1000.0,0.0
32.667,-117.22,1000.0,0.0
32.667,-117.2,1000.0,0.0
32.667,-117.18,1000.0,0.0
32.667,-117.16,1000.0,1.0
32.667,-117.14,1000.0,0.0
32.667,-117.12,1000.0,5.0
32.667,-117.1,1000.0,63.0
32.667,-117.08,1000.0,20.0
32.667,-117.06,1000.0,3.0
32.667,-117.04,1000.0,26.0
32.667,-117.02,1000.0,9.0
32.667,-117.0,1000.0,0.0
32.667,-116.98,1000.0,8.0
32.667,-116.96,1000.0,5.0
32.667,-116.94,1000.0,0.0
32.667,-116.92,1000.0,0.0
32.6904,-117.26,1000.0,0.0
32.6904,-117.24,1000.0,0.0
32.6904,-117.22,1000.0,0.0
32.6904,-117.2,1000.0,5.0
32.6904,-117.18,1000.0,55.0
32.6904,-117.16,1000.0,15.0
32.6904,-117.14,1000.0,36.0
32.6904,-117.12,1000.0,33.0
32.6904,-117.1,1000.0,22.0
32.6904,-117.08,1000.0,25.0
32.6904,-117.06,1000.0,1.0
32.6904,-117.04,1000.0,7.0
32.6904,-117.02,1000.0,17.0
32.6904,-117.0,1000.0,0.0
32.6904,-116.98,1000.0,0.0
32.6904,-116.96,1000.0,0.0
32.6904,-116.94,1000.0,0.0
32.6904,-116.92,1000.0,0.0
32.7138,-117.26,1000.0,0.0
32.7138,-117.24,1000.0,24.0
32.7138,-117.22,1000.0,25.0
32.7138,-117.2,1000.0,0.0
32.7138,-117.18,1000.0,46.0
32.7138,-117.16,1000.0,450.0
32.7138,-117.14,1000.0,74.0
32.7138,-117.12,1000.0,17.0
32.7138,-117.1,1000.0,35.0
32.7138,-117.08,1000.0,12.0
32.7138,-117.06,1000.0,7.0
32.7138,-117.04,1000.0,4.0
32.7138,-117.02,1000.0,21.0
32.7138,-117.0,1000.0,17.0
32.7138,-116.98,1000.0,0.0
32.7138,-116.96,1000.0,0.0
32.7138,-116.94,1000.0,0.0
32.7138,-116.92,1000.0,0.0
32.7372,-117.26,1000.0,22.0
32.7372,-117.24,1000.0,30.0
32.7372,-117.22,1000.0,61.0
32.7372,-117.2,1000.0,51.0
32.7372,-117.18,1000.0,20.0
32.7372,-117.16,1000.0,43.0
32.7372,-117.14,1000.0,46.0
32.7372,-117.12,1000.0,40.0
32.7372,-117.1,1000.0,11.0
32.7372,-117.08,1000.0,3.0
32.7372,-117.06,1000.0,11.0
32.7372,-117.04,1000.0,41.0
32.7372,-117.02,1000.0,20.0
32.7372,-117.0,1000.0,4.0
32.7372,-116.98,1000.0,5.0
32.7372,-116.96,1000.0,5.0
32.7372,-116.94,1000.0,29.0
32.7372,-116.92,1000.0,9.0
32.7606,-117.26,1000.0,5.0
32.7606,-117.24,1000.0,17.0
32.7606,-117.22,1000.0,48.0
32.7606,-117.2,1000.0,76.0
32.7606,-117.18,1000.0,19.0
32.7606,-117.16,1000.0,55.0
32.7606,-117.14,1000.0,114.0
32.7606,-117.12,1000.0,63.0
32.7606,-117.1,1000.0,51.0
32.7606,-117.08,1000.0,29.0
32.7606,-117.06,1000.0,73.0
32.7606,-117.04,1000.0,35.0
32.7606,-117.02,1000.0,37.0
32.7606,-117.0,1000.0,6.0
32.7606,-116.98,1000.0,0.0
32.7606,-116.96,1000.0,0.0
32.7606,-116.94,1000.0,0.0
32.7606,-116.92,1000.0,2.0
32.784,-117.26,1000.0,29.0
32.784,-117.24,1000.0,13.0
32.784,-117.22,1000.0,3.0
32.784,-117.2,1000.0,11.0
32.784,-117.18,1000.0,16.0
32.784,-117.16,1000.0,14.0
32.784,-117.14,1000.0,12.0
32.784,-117.12,1000.0,17.0
32.784,-117.1,1000.0,45.0
32.784,-117.08,1000.0,12.0
32.784,-117.06,1000.0,9.0
32.784,-117.04,1000.0,13.0
32.784,-117.02,1000.0,51.0
32.784,-117.0,1000.0,27.0
32.784,-116.98,1000.0,4.0
32.784,-116.96,1000.0,14.0
32.784,-116.94,1000.0,4.0
32.784,-116.92,1000.0,13.0
32.8074,-117.26,1000.0,39.0
32.8074,-117.24,1000.0,56.0
32.8074,-117.22,1000.0,17.0
32.8074,-117.2,1000.0,2.0
32.8074,-117.18,1000.0,2.0
32.8074,-117.16,1000.0,44.0
32.8074,-117.14,1000.0,20.0
32.8074,-117.12,1000.0,24.0
32.8074,-117.1,1000.0,1.0
32.8074,-117.08,1000.0,2.0
32.8074,-117.06,1000.0,0.0
32.8074,-117.04,1000.0,6.0
32.8074,-117.02,1000.0,8.0
32.8074,-117.0,1000.0,19.0
32.8074,-116.98,1000.0,20.0
32.8074,-116.96,1000.0,47.0
32.8074,-116.94,1000.0,40.0
32.8074,-116.92,1000.0,12.0
32.8308,-117.26,1000.0,2.0
32.8308,-117.24,1000.0,3.0
32.8308,-117.22,1000.0,4.0
32.8308,-117.2,1000.0,25.0
32.8308,-117.18,1000.0,23.0
32.8308,-117.16,1000.0,123.0
32.8308,-117.14,1000.0,54.0
32.8308,-117.12,1000.0,34.0
32.8308,-117.1,1000.0,16.0
32.8308,-117.08,1000.0,0.0
32.8308,-117.06,1000.0,0.0
32.8308,-117.04,1000.0,0.0
32.8308,-117.02,1000.0,4.0
32.8308,-117.0,1000.0,17.0
32.8308,-116.98,1000.0,37.0
32.8308,-116.96,1000.0,9.0
32.8308,-116.94,1000.0,3.0
32.8308,-116.92,1000.0,0.0
32.8542,-117.26,1000.0,20.0
32.8542,-117.24,1000.0,1.0
32.8542,-117.22,1000.0,10.0
32.8542,-117.2,1000.0,9.0
32.8542,-117.18,1000.0,1.0
32.8542,-117.16,1000.0,0.0
32.8542,-117.14,1000.0,0.0
32.8542,-117.12,1000.0,0.0
32.8542,-117.1,1000.0,0.0
32.8542,-117.08,1000.0,0.0
32.8542,-117.06,1000.0,0.0
32.8542,-117.04,1000.0,0.0
32.8542,-117.02,1000.0,0.0
32.8542,-117.0,1000.0,5.0
32.8542,-116.98,1000.0,12.0
32.8542,-116.96,1000.0,1.0
32.8542,-116.94,1000.0,16.0
32.8542,-116.92,1000.0,29.0
