id,price,url,latitude,longitude,street,city,state,zipcode,neighborhood,bed,bath,year_built,size
1,399000,https://www.zillow.com/homedetails/0-Angosto-Way-LOT-2313-San-Diego-CA-92128/2078192416_zpid/,33.049825,-117.052303,0 Angosto Way LOT 2313,San Diego,CA,92128,,,0,,
2,581000,https://www.zillow.com/homedetails/0-Aviation-Dr-LOT-149-San-Diego-CA-92114/2078580493_zpid/,32.703899,-117.054147,0 Aviation Dr LOT 149,San Diego,CA,92114,,,0,,
3,50000,https://www.zillow.com/homedetails/0-Dillons-Trl-San-Diego-CA-92154/2105216270_zpid/,32.557284,-117.015257,0 Dillons Trl,San Diego,CA,92154,,,0,,
4,50000,https://www.zillow.com/homedetails/0-Dillons-Trl-San-Diego-CA-92154/2105216270_zpid/,32.557284,-117.015257,0 Dillons Trl,San Diego,CA,92154,,,0,,
5,100000,https://www.zillow.com/homedetails/0-Highland-Ave-San-Diego-CA-92105/2077763103_zpid/,32.738706,-117.099163,0 Highland Ave,San Diego,CA,92105,,,0,,
7,55000,https://www.zillow.com/homedetails/0-No-Name-Rd-San-Diego-CA-92154/2077602361_zpid/,32.560738,-117.00089,0 No Name Rd,San Diego,CA,92154,,,0,,
8,125000,https://www.zillow.com/homedetails/0-Republic-St-LOT-0-San-Diego-CA-92114/2077454543_zpid/,32.721238,-117.064224,0 Republic St LOT 0,San Diego,CA,92114,,,0,,
9,299000,https://www.zillow.com/homedetails/0-Sutter-St-LOT-1-San-Diego-CA-92103/2077573893_zpid/,32.747728,-117.178916,0 Sutter St LOT 1,San Diego,CA,92103,,,0,,
10,675000,https://www.zillow.com/homedetails/1000-Eastside-Rd-El-Cajon-CA-92020/17018154_zpid/,32.808424,-116.983725,1000 Eastside Rd,El Cajon,CA,92020,,3,3,1966,2220
11,399000,https://www.zillow.com/homedetails/10026-Maya-Linda-Rd-UNIT-6105-San-Diego-CA-92126/2077447692_zpid/,32.901719,-117.12083,10026 Maya Linda Rd UNIT 6105,San Diego,CA,92126,,2,2,1988,956
12,559900,https://www.zillow.com/homedetails/1006-S-26th-St-San-Diego-CA-92113/52520072_zpid/,32.695669,-117.138283,1006 S 26th St,San Diego,CA,92113,,3,2,1930,900
13,5199000,https://www.zillow.com/homedetails/100-Harbor-Dr-3803-380-San-Diego-CA-92101/2077756351_zpid/,32.709068,-117.162774,100 Harbor Dr #3803 & 380,San Diego,CA,92101,,3,5,1992,4170
14,129900,https://www.zillow.com/homedetails/100-Woodlawn-Ave-SPACE-17-Chula-Vista-CA-91910/140629165_zpid/,32.642505,-117.099299,100 Woodlawn Ave SPACE 17,Chula Vista,CA,91910,,3,2,2020,919
15,129900,https://www.zillow.com/homedetails/100-Woodlawn-Ave-SPACE-7-Chula-Vista-CA-91910/140629155_zpid/,32.641557,-117.098857,100 Woodlawn Ave SPACE 7,Chula Vista,CA,91910,,3,2,2020,919
16,1375000,https://www.zillow.com/homedetails/10142-Heavenly-Way-La-Mesa-CA-91941/17035668_zpid/,32.765894,-116.980098,10142 Heavenly Way,La mesa,CA,91941,,4,4,1991,3800
